iter	Passed	Remaining
407	5543	8043
408	5557	8030
409	5570	8016
410	5583	8001
411	5598	7990
412	5611	7976
413	5624	7961
414	5638	7947
415	5654	7937
416	5667	7923
417	5682	7911
418	5696	7899
419	5713	7889
420	5728	7878
421	5741	7864
422	5754	7848
423	5766	7833
424	5778	7818
425	5789	7801
426	5803	7787
427	5815	7772
428	5828	7757
429	5839	7741
430	5852	7726
431	5865	7712
432	5878	7697
433	5890	7682
434	5902	7666
435	5915	7651
436	5926	7635
437	5938	7620
438	5951	7605
439	5963	7590
440	5977	7576
441	5991	7563
442	6005	7550
443	6020	7539
444	6043	7537
445	6061	7529
446	6075	7516
447	6089	7503
448	6103	7490
449	6117	7477
450	6133	7466
451	6147	7453
452	6161	7440
453	6176	7428
454	6191	7416
455	6207	7404
456	6222	7393
457	6241	7386
458	6257	7375
459	6274	7365
460	6289	7353
461	6305	7343
462	6321	7332
463	6335	7318
464	6348	7304
465	6361	7290
466	6374	7275
467	6387	7260
468	6399	7245
469	6413	7232
470	6428	7220
471	6441	7205
472	6454	7191
473	6468	7177
474	6482	7165
475	6496	7152
476	6511	7139
477	6523	7124
478	6538	7112
479	6553	7099
480	6567	7086
481	6581	7073
482	6595	7060
483	6609	7046
484	6622	7031
485	6637	7019
486	6650	7005
487	6664	6991
488	6676	6977
489	6689	6962
490	6701	6947
491	6714	6932
492	6726	6917
493	6740	6903
494	6752	6889
495	6765	6874
496	6778	6860
497	6791	6846
498	6803	6830
499	6817	6817
500	6850	6822
501	6872	6818
502	6886	6804
503	6899	6790
504	6912	6775
505	6925	6760
506	6938	6746
507	6951	6732
508	6963	6717
509	6976	6702
510	6989	6688
511	7002	6673
512	7014	6659
513	7026	6644
514	7039	6629
515	7057	6620
516	7082	6616
517	7096	6603
518	7114	6593
519	7132	6584
520	7148	6572
521	7164	6560
522	7179	6548
523	7194	6535
524	7209	6522
525	7224	6510
526	7237	6496
527	7252	6483
528	7264	6467
529	7279	6455
530	7292	6441
531	7306	6427
532	7320	6413
533	7333	6399
534	7346	6385
535	7360	6371
536	7375	6358
537	7388	6344
538	7401	6330
539	7414	6315
540	7428	6302
541	7442	6289
542	7460	6278
543	7474	6265
544	7489	6252
545	7502	6238
546	7515	6224
547	7528	6209
548	7540	6194
549	7553	6180
550	7567	6166
551	7579	6151
552	7593	6137
553	7606	6123
554	7619	6109
555	7632	6094
556	7644	6079
557	7656	6064
558	7670	6051
559	7682	6036
560	7697	6023
561	7709	6008
562	7721	5993
563	7734	5979
564	7747	5964
565	7758	5949
566	7771	5934
567	7783	5920
568	7796	5905
569	7807	5889
570	7819	5874
571	7831	5859
572	7843	5845
573	7856	5830
574	7868	5815
575	7879	5800
576	7891	5785
577	7902	5770
578	7915	5755
579	7927	5740
580	7940	5726
581	7952	5711
582	7964	5696
583	7977	5682
584	7990	5668
585	8002	5653
586	8014	5638
587	8027	5624
588	8039	5610
589	8051	5594
590	8063	5580
591	8077	5566
592	8100	5559
593	8115	5546
594	8128	5533
595	8143	5520
596	8158	5507
597	8171	5493
598	8184	5479
599	8198	5465
600	8211	5451
601	8225	5438
602	8237	5423
603	8252	5410
604	8266	5396
605	8279	5383
606	8292	5369
607	8305	5355
608	8318	5340
609	8331	5326
610	8344	5312
611	8358	5299
612	8372	5285
613	8385	5271
614	8398	5257
615	8411	5243
616	8425	5230
617	8441	5218
618	8455	5204
619	8469	5190
620	8482	5176
621	8497	5164
622	8511	5150
623	8526	5137
624	8540	5124
625	8557	5112
626	8574	5100
627	8589	5088
628	8605	5075
629	8619	5062
630	8632	5048
631	8644	5033
632	8657	5019
633	8670	5005
634	8682	4990
635	8694	4976
636	8706	4961
637	8718	4947
638	8731	4932
639	8743	4918
640	8755	4903
641	8768	4889
642	8781	4875
643	8793	4861
644	8806	4846
645	8818	4832
646	8830	4817
647	8842	4803
648	8856	4789
649	8883	4783
650	8897	4769
651	8908	4755
652	8921	4740
653	8933	4726
654	8945	4711
655	8957	4697
656	8970	4683
657	8982	4668
658	8994	4654
659	9006	4639
660	9019	4625
661	9032	4611
662	9044	4597
663	9057	4583
664	9070	4569
665	9083	4555
666	9097	4542
667	9112	4528
668	9138	4521
669	9150	4507
670	9164	4493
671	9177	4479
672	9189	4465
673	9204	4452
674	9219	4439
675	9232	4425
676	9246	4411
677	9258	4397
678	9271	4383
679	9285	4369
680	9297	4355
681	9310	4341
682	9322	4326
683	9335	4312
684	9348	4298
685	9362	4285
686	9375	4271
687	9390	4258
688	9404	4245
689	9424	4234
690	9437	4220
691	9452	4206
692	9464	4192
693	9477	4178
694	9490	4165
695	9504	4151
696	9517	4137
697	9530	4123
698	9543	4109
699	9556	4095
700	9570	4081
701	9584	4068
702	9597	4054
703	9611	4041
704	9624	4027
705	9637	4013
706	9650	3999
707	9663	3985
708	9676	3971
709	9688	3957
710	9699	3942
711	9712	3928
712	9724	3914
713	9736	3900
714	9748	3885
715	9759	3871
716	9771	3856
717	9784	3842
718	9796	3828
719	9809	3814
720	9821	3800
721	9834	3786
722	9846	3772
723	9859	3758
724	9871	3744
725	9884	3730
726	9895	3716
727	9908	3702
728	9921	3688
729	9934	3674
730	9947	3660
731	9959	3646
732	9972	3632
733	9988	3619
734	10002	3606
